route,timesteps,collision_truck,collision_trailer,timeout,completed
40|10,345,False,False,False,True
97|95,352,False,False,False,True
40|4,130,False,True,False,False
117|120,165,False,True,False,False
40|4,136,False,True,False,False
40|10,344,False,False,False,True
31|84,139,True,False,False,False
40|4,135,False,True,False,False
5|41,133,True,False,False,False
61|4,268,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
11|10,129,False,True,False,False
40|10,449,False,False,False,True
11|10,129,False,True,False,False
61|4,350,False,False,False,True
117|120,187,True,False,False,False
40|10,448,False,False,False,True
61|95,382,False,False,False,True
61|95,382,False,False,False,True
31|84,175,True,False,False,False
31|84,173,True,False,False,False
40|10,447,False,False,False,True
40|10,448,False,False,False,True
61|4,351,False,False,False,True
61|95,382,False,False,False,True
97|95,461,False,False,False,True
97|95,458,False,False,False,True
61|95,382,False,False,False,True
61|95,382,False,False,False,True
route,timesteps,collision_truck,collision_trailer,timeout,completed
117|120,164,False,True,False,False
40|4,97,False,True,False,False
61|95,290,False,False,False,True
40|10,344,False,False,False,True
11|10,79,False,True,False,False
40|4,94,False,True,False,False
11|10,79,False,True,False,False
61|95,291,False,False,False,True
61|4,267,False,False,False,True
5|41,133,True,False,False,False
route,timesteps,collision_truck,collision_trailer,timeout,completed
5|41,143,True,False,False,False
11|10,114,False,True,False,False
97|95,371,False,False,False,True
61|4,281,False,False,False,True
31|84,145,True,False,False,False
40|10,359,False,False,False,True
61|4,280,False,False,False,True
40|4,171,False,False,False,True
40|10,363,False,False,False,True
97|95,367,False,False,False,True
61|95,311,False,False,False,True
31|84,147,True,False,False,False
5|41,141,True,False,False,False
40|10,363,False,False,False,True
40|4,143,False,True,False,False
61|95,298,False,False,False,True
5|41,153,True,False,False,False
5|41,152,True,False,False,False
117|120,173,False,True,False,False
40|10,365,False,False,False,True
31|84,144,True,False,False,False
97|95,369,False,False,False,True
97|95,367,False,False,False,True
40|10,363,False,False,False,True
97|95,371,False,False,False,True
61|4,283,False,False,False,True
